time,value
9.42,2.21537e+129
9.43,-3.04547e+129
9.44,4.18661e+129
9.45,-5.75534e+129
9.46,7.91187e+129
9.47,-1.08765e+130
9.48,1.49519e+130
9.49,-2.05544e+130
9.5,2.82561e+130
9.51,-3.88437e+130
9.52,5.33984e+130
9.53,-7.34068e+130
9.54,1.00912e+131
9.55,-1.38724e+131
9.56,1.90705e+131
9.57,-2.62162e+131
9.58,3.60394e+131
9.59,-4.95434e+131
9.6,6.81073e+131
9.61,-9.36272e+131
9.62,1.28709e+132
9.63,-1.76937e+132
9.64,2.43235e+132
9.65,-3.34376e+132
9.66,4.59667e+132
9.67,-6.31904e+132
9.68,8.68679e+132
9.69,-1.19417e+133
9.7,1.64163e+133
9.71,-2.25675e+133
9.72,3.10236e+133
9.73,-4.26482e+133
9.74,5.86284e+133
9.75,-8.05966e+133
9.76,1.10796e+134
9.77,-1.52312e+134
9.78,2.09383e+134
9.79,-2.87839e+134
9.8,3.95692e+134
9.81,-5.43958e+134
9.82,7.4778e+134
9.83,-1.02797e+135
9.84,1.41316e+135
9.85,-1.94267e+135
9.86,2.67059e+135
9.87,-3.67126e+135
9.88,5.04688e+135
9.89,-6.93795e+135
9.9,9.53761e+135
9.91,-1.31114e+136
9.92,1.80242e+136
9.93,-2.47779e+136
9.94,3.40622e+136
9.95,-4.68253e+136
9.96,6.43707e+136
9.97,-8.84905e+136
9.98,1.21648e+137
9.99,-1.6723e+137
